Year,State,D1 avg % area,D2+ avg % area
2000,Alabama,82.59,59.3
2000,Arkansas,23.27,9.53
2000,Florida,0.75,0.16
2000,Georgia,2.06,0
2000,Kentucky,3.5,0
2000,Mississippi,18.96,4.97
2000,North Carolina,13.11,5.15
2000,South Carolina,8.45,2.07
2000,Tennessee,75.94,51.82
2000,Virginia,74.68,64.47
2001,Alabama,17.63,3.68
2001,Arkansas,6.58,0.88
2001,Florida,14.72,8.06
2001,Georgia,73.75,51.06
2001,Kentucky,24.86,8.52
2001,Mississippi,1.51,0.32
2001,North Carolina,0.39,0.05
2001,South Carolina,0,0
2001,Tennessee,14.69,1.24
2001,Virginia,65.59,44.73
2002,Alabama,9,1.51
2002,Arkansas,10.59,2.38
2002,Florida,20.2,8.6
2002,Georgia,16.49,2.92
2002,Kentucky,11.67,0.12
2002,Mississippi,3.67,0.19
2002,North Carolina,14.2,4.45
2002,South Carolina,52.15,32.55
2002,Tennessee,0.97,0
2002,Virginia,44.74,20.4
2003,Alabama,10.98,4.52
2003,Arkansas,18.53,4.76
2003,Florida,15.94,7.25
2003,Georgia,11.46,1.92
2003,Kentucky,0.01,0
2003,Mississippi,16.34,11.39
2003,North Carolina,10.63,3.75
2003,South Carolina,46.68,34.01
2003,Tennessee,0,0
2003,Virginia,4.69,0.79
2004,Alabama,34.65,9.63
2004,Arkansas,2.33,0.27
2004,Florida,5,1.06
2004,Georgia,7.32,0.98
2004,Kentucky,31.82,2.48
2004,Mississippi,14.66,5.14
2004,North Carolina,19.49,4.65
2004,South Carolina,0,0
2004,Tennessee,0.33,0
2004,Virginia,21.1,13.57
2005,Alabama,39.55,16.39
2005,Arkansas,9.26,0.55
2005,Florida,22.49,7.23
2005,Georgia,38.75,25.02
2005,Kentucky,9.53,0.8
2005,Mississippi,50.96,23.09
2005,North Carolina,14.68,3.06
2005,South Carolina,76.13,54.39
2005,Tennessee,16.07,8.23
2005,Virginia,10.05,1.52
2006,Alabama,11.49,3.11
2006,Arkansas,4.58,1.12
2006,Florida,11.15,1.36
2006,Georgia,28,12.14
2006,Kentucky,0.18,0
2006,Mississippi,4.24,0.21
2006,North Carolina,8.11,2.71
2006,South Carolina,24.41,6.81
2006,Tennessee,19.46,2.26
2006,Virginia,12.54,4.51
2007,Alabama,54.49,30.11
2007,Arkansas,11.93,0.01
2007,Florida,0.01,0
2007,Georgia,0.04,0
2007,Kentucky,1.35,0
2007,Mississippi,31.11,13.42
2007,North Carolina,40.06,13.65
2007,South Carolina,8.08,0.3
2007,Tennessee,0,0
2007,Virginia,5.45,2.72
2008,Alabama,23.27,13.43
2008,Arkansas,8.98,2.57
2008,Florida,27.57,12.3
2008,Georgia,49.57,39.11
2008,Kentucky,62.57,40.6
2008,Mississippi,0.75,0
2008,North Carolina,0.03,0
2008,South Carolina,7.21,0.41
2008,Tennessee,26.79,8.43
2008,Virginia,1.35,0
2009,Alabama,6.39,1.89
2009,Arkansas,0.09,0
2009,Florida,5.66,1.56
2009,Georgia,31.9,27.95
2009,Kentucky,57.86,38.58
2009,Mississippi,13.17,3.24
2009,North Carolina,65.25,37.91
2009,South Carolina,63.83,24.38
2009,Tennessee,9.03,2.77
2009,Virginia,9.53,0.08
2010,Alabama,3.31,0.41
2010,Arkansas,15.43,5.19
2010,Florida,5.95,0
2010,Georgia,6.89,0.64
2010,Kentucky,0.93,0
2010,Mississippi,6.87,0.4
2010,North Carolina,32.44,9.59
2010,South Carolina,0,0
2010,Tennessee,18.74,5.64
2010,Virginia,6.7,1.42
2011,Alabama,42.68,27.54
2011,Arkansas,13.98,4.97
2011,Florida,31.8,5.93
2011,Georgia,36.72,25.76
2011,Kentucky,14.45,0.18
2011,Mississippi,15.74,5.82
2011,North Carolina,0.07,0
2011,South Carolina,0.04,0
2011,Tennessee,4.15,0.34
2011,Virginia,27.54,11.83
2012,Alabama,71.16,48.85
2012,Arkansas,3.5,0
2012,Florida,83.52,70.33
2012,Georgia,65,33.44
2012,Kentucky,17.05,1.43
2012,Mississippi,7.99,0.29
2012,North Carolina,32.88,15.95
2012,South Carolina,6.98,2.07
2012,Tennessee,13.81,6.46
2012,Virginia,0.22,0
2013,Alabama,0.25,0
2013,Arkansas,5.85,0.1
2013,Florida,25.85,7.88
2013,Georgia,0,0
2013,Kentucky,1.49,0.26
2013,Mississippi,0,0
2013,North Carolina,13.25,2.52
2013,South Carolina,26.93,11.37
2013,Tennessee,63.7,49.84
2013,Virginia,21.91,9.61
2014,Alabama,15.89,3.63
2014,Arkansas,5.4,1.01
2014,Florida,0,0
2014,Georgia,6.56,0.92
2014,Kentucky,12.19,5
2014,Mississippi,11.86,2.2
2014,North Carolina,13.11,2.01
2014,South Carolina,6.83,0.77
2014,Tennessee,1.27,0
2014,Virginia,18.32,7.79
2015,Alabama,11.02,3.29
2015,Arkansas,72.02,56.06
2015,Florida,5.89,1.86
2015,Georgia,24.96,7.88
2015,Kentucky,15.06,0.05
2015,Mississippi,5.87,0.33
2015,North Carolina,31.72,15.62
2015,South Carolina,37.95,24.87
2015,Tennessee,39.4,17.05
2015,Virginia,26.19,13.31
2016,Alabama,1.49,0.05
2016,Arkansas,1.28,0
2016,Florida,2.39,0.06
2016,Georgia,10.28,1.42
2016,Kentucky,65.62,49.25
2016,Mississippi,14.9,2.9
2016,North Carolina,10.66,2.42
2016,South Carolina,19.66,9.91
2016,Tennessee,18.43,5.91
2016,Virginia,28.5,16.05
2017,Alabama,30.61,15.81
2017,Arkansas,23.07,11.56
2017,Florida,10.73,0.4
2017,Georgia,0,0
2017,Kentucky,9.52,2.32
2017,Mississippi,0.04,0
2017,North Carolina,14.07,3.36
2017,South Carolina,59.3,42.51
2017,Tennessee,1.41,0.03
2017,Virginia,75.17,55.47
2018,Alabama,9.81,0.04
2018,Arkansas,2.64,0.08
2018,Florida,73.32,60.33
2018,Georgia,20.24,8.33
2018,Kentucky,11.95,2.8
2018,Mississippi,58.86,31.1
2018,North Carolina,5.01,0.8
2018,South Carolina,0,0
2018,Tennessee,6.79,1.1
2018,Virginia,36.69,14.57
2019,Alabama,11.03,2.8
2019,Arkansas,19.46,5.58
2019,Florida,0,0
2019,Georgia,0.22,0
2019,Kentucky,14.43,2.18
2019,Mississippi,44.25,21.47
2019,North Carolina,15.75,1.22
2019,South Carolina,49.33,34.49
2019,Tennessee,30.69,9.23
2019,Virginia,12.96,3.85
2020,Alabama,1.91,0.05
2020,Arkansas,14.83,4.66
2020,Florida,24.75,2.04
2020,Georgia,4.07,0.04
2020,Kentucky,5.47,1.25
2020,Mississippi,0,0
2020,North Carolina,2.32,0
2020,South Carolina,18.47,4.92
2020,Tennessee,55.4,34.73
2020,Virginia,11.86,2.13
2021,Alabama,1.31,0
2021,Arkansas,51.97,40.03
2021,Florida,43.87,22.39
2021,Georgia,20.6,3.42
2021,Kentucky,4.21,1.06
2021,Mississippi,95.28,70.72
2021,North Carolina,17.88,5.4
2021,South Carolina,0.11,0
2021,Tennessee,0.01,0
2021,Virginia,1.27,0
2022,Alabama,11.05,2.45
2022,Arkansas,7.4,0.19
2022,Florida,5.59,1.41
2022,Georgia,77.09,54.51
2022,Kentucky,21.41,0.6
2022,Mississippi,16.94,2.89
2022,North Carolina,15.69,2.71
2022,South Carolina,14.91,7.19
2022,Tennessee,62.01,22.85
2022,Virginia,12.41,4.35
2023,Alabama,0.67,0
2023,Arkansas,0,0
2023,Florida,0.28,0
2023,Georgia,24.98,6.48
2023,Kentucky,1.3,0
2023,Mississippi,12.1,3.03
2023,North Carolina,1.93,0
2023,South Carolina,21.45,7.98
2023,Tennessee,10.69,4.39
2023,Virginia,57.09,24
2024,Alabama,16.83,6.23
2024,Arkansas,54.9,20.26
2024,Florida,81.08,57.07
2024,Georgia,0.17,0
2024,Kentucky,18.3,6.88
2024,Mississippi,5.32,0
2024,North Carolina,6.02,0.88
2024,South Carolina,2.76,0
2024,Tennessee,0.67,0.03
2024,Virginia,0,0
2025,Alabama,4.69,0.08
2025,Arkansas,14.08,4.61
2025,Florida,50.18,31.39
2025,Georgia,14.88,3.95
2025,Kentucky,32.51,10.67
2025,Mississippi,8.64,1.88
2025,North Carolina,0.64,0
2025,South Carolina,5.37,0.13
2025,Tennessee,0.13,0
2025,Virginia,24.84,4.41