Year,State,Value
2000,Alabama,42.49
2000,Arkansas,45.7
2000,Florida,40.29
2000,Georgia,41.38
2000,Kentucky,45.29
2000,Mississippi,44.64
2000,North Carolina,44.36
2000,South Carolina,41.24
2000,Tennessee,45.02
2000,Virginia,40.33
2001,Alabama,59.04
2001,Arkansas,55.41
2001,Florida,52.21
2001,Georgia,41.8
2001,Kentucky,45.43
2001,Mississippi,66.28
2001,North Carolina,37.81
2001,South Carolina,34.72
2001,Tennessee,54
2001,Virginia,34.88
2002,Alabama,57.13
2002,Arkansas,52.83
2002,Florida,58.49
2002,Georgia,49.72
2002,Kentucky,53.51
2002,Mississippi,66.08
2002,North Carolina,47.53
2002,South Carolina,46.54
2002,Tennessee,59.22
2002,Virginia,42.62
2003,Alabama,63.72
2003,Arkansas,44.84
2003,Florida,58.77
2003,Georgia,57.23
2003,Kentucky,55.98
2003,Mississippi,58.98
2003,North Carolina,63.16
2003,South Carolina,55.19
2003,Tennessee,61.76
2003,Virginia,61.89
2004,Alabama,59.88
2004,Arkansas,57.02
2004,Florida,57.22
2004,Georgia,52.16
2004,Kentucky,55.94
2004,Mississippi,65.81
2004,North Carolina,49.15
2004,South Carolina,45.85
2004,Tennessee,61.25
2004,Virginia,48.94
2005,Alabama,57.08
2005,Arkansas,35.75
2005,Florida,59.48
2005,Georgia,54.74
2005,Kentucky,39.8
2005,Mississippi,50.64
2005,North Carolina,47.58
2005,South Carolina,47.51
2005,Tennessee,44.68
2005,Virginia,39.83
2006,Alabama,47.54
2006,Arkansas,49.33
2006,Florida,41
2006,Georgia,39
2006,Kentucky,52.37
2006,Mississippi,52.47
2006,North Carolina,51.17
2006,South Carolina,43.73
2006,Tennessee,48.87
2006,Virginia,46.2
2007,Alabama,37.86
2007,Arkansas,46.7
2007,Florida,43.72
2007,Georgia,38.07
2007,Kentucky,41.86
2007,Mississippi,41.78
2007,North Carolina,34.75
2007,South Carolina,34.9
2007,Tennessee,37.72
2007,Virginia,35.19
2008,Alabama,53.07
2008,Arkansas,60.48
2008,Florida,53.13
2008,Georgia,46.99
2008,Kentucky,46.51
2008,Mississippi,59.44
2008,North Carolina,45.81
2008,South Carolina,45.77
2008,Tennessee,49.77
2008,Virginia,40.64
2009,Alabama,73.77
2009,Arkansas,72.2
2009,Florida,53.77
2009,Georgia,61.48
2009,Kentucky,54.35
2009,Mississippi,68.42
2009,North Carolina,53.2
2009,South Carolina,50.56
2009,Tennessee,60.28
2009,Virginia,51.25
2010,Alabama,47.19
2010,Arkansas,38.79
2010,Florida,48.12
2010,Georgia,43.04
2010,Kentucky,43.54
2010,Mississippi,43.91
2010,North Carolina,46.27
2010,South Carolina,41.2
2010,Tennessee,49.65
2010,Virginia,41.74
2011,Alabama,50.71
2011,Arkansas,55.84
2011,Florida,46.77
2011,Georgia,40.11
2011,Kentucky,64.35
2011,Mississippi,52.84
2011,North Carolina,45.99
2011,South Carolina,38.21
2011,Tennessee,62.59
2011,Virginia,48.3
2012,Alabama,53.38
2012,Arkansas,39.81
2012,Florida,55.09
2012,Georgia,42.02
2012,Kentucky,43.21
2012,Mississippi,59.17
2012,North Carolina,46.62
2012,South Carolina,43.77
2012,Tennessee,46.89
2012,Virginia,40.05
2013,Alabama,64.7
2013,Arkansas,54.24
2013,Florida,56.87
2013,Georgia,63.49
2013,Kentucky,55.78
2013,Mississippi,62.93
2013,North Carolina,56.46
2013,South Carolina,56.39
2013,Tennessee,63.27
2013,Virginia,51.37
2014,Alabama,56.03
2014,Arkansas,47.91
2014,Florida,59.13
2014,Georgia,51.41
2014,Kentucky,47.11
2014,Mississippi,58.22
2014,North Carolina,50.08
2014,South Carolina,47.03
2014,Tennessee,53.53
2014,Virginia,43.75
2015,Alabama,61.36
2015,Arkansas,67.31
2015,Florida,52.86
2015,Georgia,55.74
2015,Kentucky,58.3
2015,Mississippi,60.57
2015,North Carolina,58.32
2015,South Carolina,60.66
2015,Tennessee,59.16
2015,Virginia,49.76
2016,Alabama,45.01
2016,Arkansas,50.44
2016,Florida,53.41
2016,Georgia,40.9
2016,Kentucky,49.19
2016,Mississippi,53.13
2016,North Carolina,50.61
2016,South Carolina,46.25
2016,Tennessee,47.04
2016,Virginia,45.41
2017,Alabama,64.19
2017,Arkansas,50.26
2017,Florida,58.63
2017,Georgia,49.8
2017,Kentucky,50.26
2017,Mississippi,58.93
2017,North Carolina,47.96
2017,South Carolina,46.57
2017,Tennessee,56.22
2017,Virginia,41.56
2018,Alabama,64.4
2018,Arkansas,64.32
2018,Florida,60.52
2018,Georgia,60.8
2018,Kentucky,63.74
2018,Mississippi,66.81
2018,North Carolina,68.35
2018,South Carolina,57.3
2018,Tennessee,67.14
2018,Virginia,63.53
2019,Alabama,56.3
2019,Arkansas,65.65
2019,Florida,52.1
2019,Georgia,47.89
2019,Kentucky,61.31
2019,Mississippi,68.06
2019,North Carolina,51.15
2019,South Carolina,46.03
2019,Tennessee,66.92
2019,Virginia,46
2020,Alabama,68.67
2020,Arkansas,63.82
2020,Florida,57.98
2020,Georgia,60.46
2020,Kentucky,58.11
2020,Mississippi,68.84
2020,North Carolina,66.55
2020,South Carolina,59.87
2020,Tennessee,65.73
2020,Virginia,61.4
2021,Alabama,65.16
2021,Arkansas,50.23
2021,Florida,55.38
2021,Georgia,57.14
2021,Kentucky,53.39
2021,Mississippi,65.5
2021,North Carolina,47.6
2021,South Carolina,47.47
2021,Tennessee,58.78
2021,Virginia,40.86
2022,Alabama,57.85
2022,Arkansas,51.69
2022,Florida,54.77
2022,Georgia,45.83
2022,Kentucky,49.31
2022,Mississippi,59.58
2022,North Carolina,46.63
2022,South Carolina,45.43
2022,Tennessee,54.81
2022,Virginia,45.56
2023,Alabama,51.12
2023,Arkansas,52.33
2023,Florida,54.45
2023,Georgia,51.95
2023,Kentucky,44.06
2023,Mississippi,47.72
2023,North Carolina,48.83
2023,South Carolina,51.6
2023,Tennessee,48.79
2023,Virginia,41.43
2024,Alabama,56.51
2024,Arkansas,54.69
2024,Florida,56.82
2024,Georgia,56.47
2024,Kentucky,51.61
2024,Mississippi,57.9
2024,North Carolina,53.09
2024,South Carolina,52.89
2024,Tennessee,53.15
2024,Virginia,45.48
2025,Alabama,51.79
2025,Arkansas,51.53
2025,Florida,44.57
2025,Georgia,44.09
2025,Kentucky,57.52
2025,Mississippi,52.36
2025,North Carolina,44.56
2025,South Carolina,42.96
2025,Tennessee,53.3
2025,Virginia,43.38